141  NumCoords ! Number of coordinates 
! ......... x-y coordinates are next if NumCoords > 0 ............. 
! x-y coordinate of airfoil reference 
!  x/c        y/c 
0.250000 0.000000 
! coordinates of airfoil shape  
! ../../Deliver_FAST/CertTest/5MW_Baseline/AirfoilsModified/AF7Coords.txt 
! x/c      y/c  
1.000000 0.002645 
0.999482 0.002789 
0.997928 0.003221 
0.995343 0.003946 
0.991731 0.004969 
0.987100 0.006292 
0.981459 0.007898 
0.974820 0.009771 
0.967197 0.011887 
0.958606 0.014247 
0.949064 0.016824 
0.938591 0.019625 
0.927210 0.022645 
0.914943 0.025889 
0.901816 0.029372 
0.887856 0.033068 
0.873092 0.036969 
0.857555 0.041089 
0.841277 0.045389 
0.824291 0.049876 
0.806633 0.054517 
0.788340 0.059290 
0.769449 0.064181 
0.750000 0.069165 
0.730033 0.074227 
0.709588 0.079337 
0.688710 0.084462 
0.667440 0.089590 
0.645823 0.094677 
0.623904 0.099705 
0.601728 0.104619 
0.579341 0.109410 
0.556790 0.114031 
0.534121 0.118451 
0.511382 0.122642 
0.488618 0.126553 
0.465879 0.130168 
0.443210 0.133461 
0.420659 0.136378 
0.398272 0.138908 
0.376096 0.141007 
0.354177 0.142642 
0.332560 0.143822 
0.311290 0.144502 
0.290412 0.144627 
0.269967 0.144138 
0.250000 0.142965 
0.230551 0.141027 
0.211660 0.138319 
0.193367 0.134926 
0.175709 0.130904 
0.158723 0.126326 
0.142445 0.121250 
0.126908 0.115709 
0.112144 0.109763 
0.098184 0.103442 
0.085057 0.096775 
0.072790 0.089825 
0.061409 0.082633 
0.050936 0.075221 
0.041394 0.067664 
0.032803 0.060016 
0.025180 0.052332 
0.018541 0.044660 
0.012900 0.037054 
0.008269 0.029582 
0.004657 0.022221 
0.002072 0.014590 
0.000518 0.007230 
0.000000 0.000000 
0.000000 0.000000 
0.000518 -0.007154 
0.002072 -0.014770 
0.004657 -0.022719 
0.008269 -0.030706 
0.012900 -0.038908 
0.018541 -0.047351 
0.025180 -0.056028 
0.032803 -0.064929 
0.041394 -0.074060 
0.050936 -0.083326 
0.061409 -0.092651 
0.072790 -0.101942 
0.085057 -0.111113 
0.098184 -0.120127 
0.112144 -0.128885 
0.126908 -0.137298 
0.142445 -0.145283 
0.158723 -0.152766 
0.175709 -0.159665 
0.193367 -0.165873 
0.211660 -0.171236 
0.230551 -0.175584 
0.250000 -0.178710 
0.269967 -0.180458 
0.290412 -0.180758 
0.311290 -0.179636 
0.332560 -0.177132 
0.354177 -0.173393 
0.376096 -0.168537 
0.398272 -0.162675 
0.420659 -0.155997 
0.443210 -0.148685 
0.465879 -0.140811 
0.488618 -0.132522 
0.511382 -0.123940 
0.534121 -0.115154 
0.556790 -0.106262 
0.579341 -0.097307 
0.601728 -0.088404 
0.623904 -0.079628 
0.645823 -0.071025 
0.667440 -0.062655 
0.688710 -0.054563 
0.709588 -0.046811 
0.730033 -0.039454 
0.750000 -0.032530 
0.769449 -0.026112 
0.788340 -0.020243 
0.806633 -0.014979 
0.824291 -0.010354 
0.841277 -0.006359 
0.857555 -0.003004 
0.873092 -0.000279 
0.887856 0.001827 
0.901816 0.003394 
0.914943 0.004468 
0.927210 0.005070 
0.938591 0.005278 
0.949064 0.005102 
0.958606 0.004592 
0.967197 0.003798 
0.974820 0.002793 
0.981459 0.001679 
0.987100 0.000556 
0.991731 -0.000503 
0.995343 -0.001413 
0.997928 -0.002094 
0.999482 -0.002507 
1.000000 -0.002645 
