141  NumCoords ! Number of coordinates 
! ......... x-y coordinates are next if NumCoords > 0 ............. 
! x-y coordinate of airfoil reference 
!  x/c        y/c 
0.250000 0.000000 
! coordinates of airfoil shape  
! ../../Deliver_FAST/CertTest/5MW_Baseline/AirfoilsModified/AF12Coords.txt 
! x/c      y/c  
1.000000 0.001940 
0.999482 0.002108 
0.997928 0.002610 
0.995343 0.003429 
0.991731 0.004529 
0.987100 0.005871 
0.981459 0.007447 
0.974820 0.009276 
0.967197 0.011353 
0.958606 0.013650 
0.949064 0.016163 
0.938591 0.018899 
0.927210 0.021836 
0.914943 0.024979 
0.901816 0.028326 
0.887856 0.031856 
0.873092 0.035555 
0.857555 0.039433 
0.841277 0.043477 
0.824291 0.047669 
0.806633 0.051984 
0.788340 0.056409 
0.769449 0.060918 
0.750000 0.065500 
0.730033 0.070132 
0.709588 0.074814 
0.688710 0.079526 
0.667440 0.084217 
0.645823 0.088869 
0.623904 0.093452 
0.601728 0.097903 
0.579341 0.102173 
0.556790 0.106249 
0.534121 0.110049 
0.511382 0.113547 
0.488618 0.116674 
0.465879 0.119329 
0.443210 0.121480 
0.420659 0.123076 
0.398272 0.124122 
0.376096 0.124572 
0.354177 0.124404 
0.332560 0.123653 
0.311290 0.122371 
0.290412 0.120570 
0.269967 0.118286 
0.250000 0.115570 
0.230551 0.112433 
0.211660 0.108923 
0.193367 0.105068 
0.175709 0.100906 
0.158723 0.096461 
0.142445 0.091771 
0.126908 0.086864 
0.112144 0.081762 
0.098184 0.076495 
0.085057 0.071102 
0.072790 0.065608 
0.061409 0.060051 
0.050936 0.054461 
0.041394 0.048877 
0.032803 0.043343 
0.025180 0.037920 
0.018541 0.032634 
0.012900 0.027365 
0.008269 0.022124 
0.004657 0.016953 
0.002072 0.011726 
0.000518 0.005811 
0.000000 0.000000 
0.000000 0.000000 
0.000518 -0.004747 
0.002072 -0.009302 
0.004657 -0.013817 
0.008269 -0.018216 
0.012900 -0.022647 
0.018541 -0.027176 
0.025180 -0.031774 
0.032803 -0.036369 
0.041394 -0.040868 
0.050936 -0.045254 
0.061409 -0.049539 
0.072790 -0.053703 
0.085057 -0.057750 
0.098184 -0.061676 
0.112144 -0.065439 
0.126908 -0.068993 
0.142445 -0.072311 
0.158723 -0.075366 
0.175709 -0.078128 
0.193367 -0.080555 
0.211660 -0.082621 
0.230551 -0.084322 
0.250000 -0.085610 
0.269967 -0.086479 
0.290412 -0.086892 
0.311290 -0.086841 
0.332560 -0.086304 
0.354177 -0.085292 
0.376096 -0.083804 
0.398272 -0.081841 
0.420659 -0.079397 
0.443210 -0.076457 
0.465879 -0.073017 
0.488618 -0.069109 
0.511382 -0.064785 
0.534121 -0.060093 
0.556790 -0.055103 
0.579341 -0.049866 
0.601728 -0.044472 
0.623904 -0.038966 
0.645823 -0.033462 
0.667440 -0.028037 
0.688710 -0.022795 
0.709588 -0.017836 
0.730033 -0.013223 
0.750000 -0.009030 
0.769449 -0.005310 
0.788340 -0.002117 
0.806633 0.000542 
0.824291 0.002662 
0.841277 0.004275 
0.857555 0.005424 
0.873092 0.006135 
0.887856 0.006455 
0.901816 0.006440 
0.914943 0.006128 
0.927210 0.005585 
0.938591 0.004881 
0.949064 0.004060 
0.958606 0.003190 
0.967197 0.002315 
0.974820 0.001452 
0.981459 0.000640 
0.987100 -0.000098 
0.991731 -0.000740 
0.995343 -0.001252 
0.997928 -0.001629 
0.999482 -0.001862 
1.000000 -0.001940 
