141  NumCoords ! Number of coordinates 
! ......... x-y coordinates are next if NumCoords > 0 ............. 
! x-y coordinate of airfoil reference 
!  x/c        y/c 
0.250000 0.000000 
! coordinates of airfoil shape  
! ../../Deliver_FAST/CertTest/5MW_Baseline/AirfoilsModified/AF6Coords.txt 
! x/c      y/c  
1.000000 0.002830 
0.999482 0.002975 
0.997928 0.003409 
0.995343 0.004140 
0.991731 0.005173 
0.987100 0.006512 
0.981459 0.008149 
0.974820 0.010066 
0.967197 0.012241 
0.958606 0.014676 
0.949064 0.017340 
0.938591 0.020238 
0.927210 0.023368 
0.914943 0.026738 
0.901816 0.030374 
0.887856 0.034236 
0.873092 0.038322 
0.857555 0.042653 
0.841277 0.047187 
0.824291 0.051930 
0.806633 0.056849 
0.788340 0.061920 
0.769449 0.067124 
0.750000 0.072440 
0.730033 0.077851 
0.709588 0.083329 
0.688710 0.088825 
0.667440 0.094336 
0.645823 0.099812 
0.623904 0.105240 
0.601728 0.110548 
0.579341 0.115734 
0.556790 0.120744 
0.534121 0.125544 
0.511382 0.130101 
0.488618 0.134359 
0.465879 0.138302 
0.443210 0.141908 
0.420659 0.145127 
0.398272 0.147952 
0.376096 0.150334 
0.354177 0.152261 
0.332560 0.153756 
0.311290 0.154772 
0.290412 0.155235 
0.269967 0.155069 
0.250000 0.154190 
0.230551 0.152502 
0.211660 0.149991 
0.193367 0.146739 
0.175709 0.142796 
0.158723 0.138224 
0.142445 0.133095 
0.126908 0.127429 
0.112144 0.121288 
0.098184 0.114710 
0.085057 0.107704 
0.072790 0.100348 
0.061409 0.092672 
0.050936 0.084691 
0.041394 0.076496 
0.032803 0.068136 
0.025180 0.059673 
0.018541 0.051144 
0.012900 0.042604 
0.008269 0.034134 
0.004657 0.025612 
0.002072 0.016370 
0.000518 0.007888 
0.000000 0.000000 
0.000000 0.000000 
0.000518 -0.007833 
0.002072 -0.016410 
0.004657 -0.025536 
0.008269 -0.034515 
0.012900 -0.043649 
0.018541 -0.052947 
0.025180 -0.062402 
0.032803 -0.072054 
0.041394 -0.081943 
0.050936 -0.091968 
0.061409 -0.102036 
0.072790 -0.112044 
0.085057 -0.121886 
0.098184 -0.131523 
0.112144 -0.140846 
0.126908 -0.149774 
0.142445 -0.158232 
0.158723 -0.166133 
0.175709 -0.173412 
0.193367 -0.179947 
0.211660 -0.185588 
0.230551 -0.190154 
0.250000 -0.193430 
0.269967 -0.195248 
0.290412 -0.195547 
0.311290 -0.194354 
0.332560 -0.191711 
0.354177 -0.187770 
0.376096 -0.182654 
0.398272 -0.176471 
0.420659 -0.169428 
0.443210 -0.161712 
0.465879 -0.153401 
0.488618 -0.144641 
0.511382 -0.135569 
0.534121 -0.126271 
0.556790 -0.116870 
0.579341 -0.107407 
0.601728 -0.098014 
0.623904 -0.088772 
0.645823 -0.079720 
0.667440 -0.070906 
0.688710 -0.062375 
0.709588 -0.054170 
0.730033 -0.046358 
0.750000 -0.038960 
0.769449 -0.032046 
0.788340 -0.025666 
0.806633 -0.019872 
0.824291 -0.014713 
0.841277 -0.010187 
0.857555 -0.006323 
0.873092 -0.003105 
0.887856 -0.000543 
0.901816 0.001457 
0.914943 0.002934 
0.927210 0.003901 
0.938591 0.004430 
0.949064 0.004526 
0.958606 0.004219 
0.967197 0.003565 
0.974820 0.002643 
0.981459 0.001566 
0.987100 0.000448 
0.991731 -0.000627 
0.995343 -0.001562 
0.997928 -0.002263 
0.999482 -0.002688 
1.000000 -0.002830 
