141  NumCoords ! Number of coordinates 
! ......... x-y coordinates are next if NumCoords > 0 ............. 
! x-y coordinate of airfoil reference 
!  x/c        y/c 
0.250000 0.000000 
! coordinates of airfoil shape  
! ../../Deliver_FAST/CertTest/5MW_Baseline/AirfoilsModified/AF15Coords.txt 
! x/c      y/c  
1.000000 0.000882 
0.999482 0.001054 
0.997928 0.001569 
0.995343 0.002418 
0.991731 0.003585 
0.987100 0.004949 
0.981459 0.006508 
0.974820 0.008304 
0.967197 0.010338 
0.958606 0.012594 
0.949064 0.015070 
0.938591 0.017775 
0.927210 0.020699 
0.914943 0.023843 
0.901816 0.027203 
0.887856 0.030767 
0.873092 0.034521 
0.857555 0.038465 
0.841277 0.042583 
0.824291 0.046859 
0.806633 0.051260 
0.788340 0.055773 
0.769449 0.060373 
0.750000 0.065040 
0.730033 0.069723 
0.709588 0.074421 
0.688710 0.079110 
0.667440 0.083748 
0.645823 0.088308 
0.623904 0.092753 
0.601728 0.097017 
0.579341 0.101065 
0.556790 0.104878 
0.534121 0.108398 
0.511382 0.111594 
0.488618 0.114416 
0.465879 0.116796 
0.443210 0.118730 
0.420659 0.120109 
0.398272 0.120899 
0.376096 0.121031 
0.354177 0.120554 
0.332560 0.119539 
0.311290 0.118040 
0.290412 0.116078 
0.269967 0.113689 
0.250000 0.110910 
0.230551 0.107760 
0.211660 0.104274 
0.193367 0.100478 
0.175709 0.096404 
0.158723 0.092082 
0.142445 0.087525 
0.126908 0.082770 
0.112144 0.077842 
0.098184 0.072769 
0.085057 0.067577 
0.072790 0.062284 
0.061409 0.056936 
0.050936 0.051552 
0.041394 0.046163 
0.032803 0.040808 
0.025180 0.035552 
0.018541 0.030385 
0.012900 0.025294 
0.008269 0.020286 
0.004657 0.015365 
0.002072 0.010444 
0.000518 0.005230 
0.000000 0.000000 
0.000000 0.000000 
0.000518 -0.004740 
0.002072 -0.009339 
0.004657 -0.013690 
0.008269 -0.017732 
0.012900 -0.021633 
0.018541 -0.025472 
0.025180 -0.029260 
0.032803 -0.032956 
0.041394 -0.036559 
0.050936 -0.040053 
0.061409 -0.043445 
0.072790 -0.046727 
0.085057 -0.049901 
0.098184 -0.052952 
0.112144 -0.055868 
0.126908 -0.058630 
0.142445 -0.061219 
0.158723 -0.063617 
0.175709 -0.065801 
0.193367 -0.067752 
0.211660 -0.069452 
0.230551 -0.070888 
0.250000 -0.072035 
0.269967 -0.072878 
0.290412 -0.073394 
0.311290 -0.073564 
0.332560 -0.073370 
0.354177 -0.072799 
0.376096 -0.071825 
0.398272 -0.070401 
0.420659 -0.068452 
0.443210 -0.066010 
0.465879 -0.063132 
0.488618 -0.059906 
0.511382 -0.056362 
0.534121 -0.052544 
0.556790 -0.048506 
0.579341 -0.044294 
0.601728 -0.039968 
0.623904 -0.035568 
0.645823 -0.031165 
0.667440 -0.026821 
0.688710 -0.022602 
0.709588 -0.018568 
0.730033 -0.014760 
0.750000 -0.011222 
0.769449 -0.008013 
0.788340 -0.005154 
0.806633 -0.002651 
0.824291 -0.000509 
0.841277 0.001226 
0.857555 0.002629 
0.873092 0.003710 
0.887856 0.004419 
0.901816 0.004904 
0.914943 0.005078 
0.927210 0.005023 
0.938591 0.004777 
0.949064 0.004367 
0.958606 0.003837 
0.967197 0.003219 
0.974820 0.002542 
0.981459 0.001860 
0.987100 0.001176 
0.991731 0.000525 
0.995343 -0.000084 
0.997928 -0.000525 
0.999482 -0.000792 
1.000000 -0.000882 
