141  NumCoords ! Number of coordinates 
! ......... x-y coordinates are next if NumCoords > 0 ............. 
! x-y coordinate of airfoil reference 
!  x/c        y/c 
0.250000 0.000000 
! coordinates of airfoil shape  
! ../../Deliver_FAST/CertTest/5MW_Baseline/AirfoilsModified/AF19Coords.txt 
! x/c      y/c  
1.000000 0.000000 
0.999482 0.000175 
0.997928 0.000701 
0.995343 0.001576 
0.991731 0.002799 
0.987100 0.004180 
0.981459 0.005726 
0.974820 0.007495 
0.967197 0.009493 
0.958606 0.011715 
0.949064 0.014160 
0.938591 0.016838 
0.927210 0.019751 
0.914943 0.022896 
0.901816 0.026266 
0.887856 0.029859 
0.873092 0.033660 
0.857555 0.037659 
0.841277 0.041837 
0.824291 0.046184 
0.806633 0.050657 
0.788340 0.055243 
0.769449 0.059918 
0.750000 0.064656 
0.730033 0.069382 
0.709588 0.074094 
0.688710 0.078763 
0.667440 0.083358 
0.645823 0.087840 
0.623904 0.092170 
0.601728 0.096279 
0.579341 0.100142 
0.556790 0.103736 
0.534121 0.107022 
0.511382 0.109967 
0.488618 0.112534 
0.465879 0.114686 
0.443210 0.116438 
0.420659 0.117637 
0.398272 0.118213 
0.376096 0.118081 
0.354177 0.117346 
0.332560 0.116111 
0.311290 0.114430 
0.290412 0.112336 
0.269967 0.109859 
0.250000 0.107027 
0.230551 0.103867 
0.211660 0.100400 
0.193367 0.096652 
0.175709 0.092653 
0.158723 0.088432 
0.142445 0.083986 
0.126908 0.079358 
0.112144 0.074575 
0.098184 0.069664 
0.085057 0.064640 
0.072790 0.059515 
0.061409 0.054340 
0.050936 0.049129 
0.041394 0.043902 
0.032803 0.038695 
0.025180 0.033578 
0.018541 0.028511 
0.012900 0.023568 
0.008269 0.018754 
0.004657 0.014041 
0.002072 0.009375 
0.000518 0.004746 
0.000000 0.000000 
0.000000 0.000000 
0.000518 -0.004734 
0.002072 -0.009370 
0.004657 -0.013584 
0.008269 -0.017328 
0.012900 -0.020788 
0.018541 -0.024053 
0.025180 -0.027164 
0.032803 -0.030112 
0.041394 -0.032969 
0.050936 -0.035719 
0.061409 -0.038366 
0.072790 -0.040913 
0.085057 -0.043361 
0.098184 -0.045681 
0.112144 -0.047892 
0.126908 -0.049995 
0.142445 -0.051977 
0.158723 -0.053827 
0.175709 -0.055528 
0.193367 -0.057084 
0.211660 -0.058478 
0.230551 -0.059695 
0.250000 -0.060723 
0.269967 -0.061544 
0.290412 -0.062145 
0.311290 -0.062501 
0.332560 -0.062592 
0.354177 -0.062388 
0.376096 -0.061842 
0.398272 -0.060869 
0.420659 -0.059332 
0.443210 -0.057304 
0.465879 -0.054895 
0.488618 -0.052238 
0.511382 -0.049343 
0.534121 -0.046253 
0.556790 -0.043010 
0.579341 -0.039651 
0.601728 -0.036215 
0.623904 -0.032737 
0.645823 -0.029250 
0.667440 -0.025807 
0.688710 -0.022441 
0.709588 -0.019178 
0.730033 -0.016041 
0.750000 -0.013048 
0.769449 -0.010266 
0.788340 -0.007684 
0.806633 -0.005311 
0.824291 -0.003152 
0.841277 -0.001315 
0.857555 0.000300 
0.873092 0.001688 
0.887856 0.002722 
0.901816 0.003625 
0.914943 0.004203 
0.927210 0.004555 
0.938591 0.004690 
0.949064 0.004622 
0.958606 0.004376 
0.967197 0.003972 
0.974820 0.003450 
0.981459 0.002877 
0.987100 0.002238 
0.991731 0.001579 
0.995343 0.000889 
0.997928 0.000396 
0.999482 0.000099 
1.000000 0.000000 
