141  NumCoords ! Number of coordinates 
! ......... x-y coordinates are next if NumCoords > 0 ............. 
! x-y coordinate of airfoil reference 
!  x/c        y/c 
0.250000 0.000000 
! coordinates of airfoil shape  
! ../../Deliver_FAST/CertTest/5MW_Baseline/AirfoilsModified/AF18Coords.txt 
! x/c      y/c  
1.000000 0.000118 
0.999482 0.000292 
0.997928 0.000817 
0.995343 0.001689 
0.991731 0.002904 
0.987100 0.004283 
0.981459 0.005830 
0.974820 0.007602 
0.967197 0.009606 
0.958606 0.011832 
0.949064 0.014282 
0.938591 0.016963 
0.927210 0.019877 
0.914943 0.023022 
0.901816 0.026391 
0.887856 0.029980 
0.873092 0.033775 
0.857555 0.037766 
0.841277 0.041936 
0.824291 0.046274 
0.806633 0.050737 
0.788340 0.055313 
0.769449 0.059979 
0.750000 0.064707 
0.730033 0.069428 
0.709588 0.074138 
0.688710 0.078810 
0.667440 0.083410 
0.645823 0.087902 
0.623904 0.092248 
0.601728 0.096377 
0.579341 0.100265 
0.556790 0.103889 
0.534121 0.107205 
0.511382 0.110184 
0.488618 0.112785 
0.465879 0.114968 
0.443210 0.116744 
0.420659 0.117967 
0.398272 0.118571 
0.376096 0.118475 
0.354177 0.117774 
0.332560 0.116568 
0.311290 0.114911 
0.290412 0.112835 
0.269967 0.110369 
0.250000 0.107545 
0.230551 0.104386 
0.211660 0.100916 
0.193367 0.097162 
0.175709 0.093153 
0.158723 0.088919 
0.142445 0.084457 
0.126908 0.079813 
0.112144 0.075011 
0.098184 0.070078 
0.085057 0.065031 
0.072790 0.059884 
0.061409 0.054686 
0.050936 0.049452 
0.041394 0.044203 
0.032803 0.038977 
0.025180 0.033841 
0.018541 0.028761 
0.012900 0.023798 
0.008269 0.018958 
0.004657 0.014217 
0.002072 0.009518 
0.000518 0.004811 
0.000000 0.000000 
0.000000 0.000000 
0.000518 -0.004734 
0.002072 -0.009366 
0.004657 -0.013598 
0.008269 -0.017382 
0.012900 -0.020901 
0.018541 -0.024242 
0.025180 -0.027444 
0.032803 -0.030491 
0.041394 -0.033447 
0.050936 -0.036297 
0.061409 -0.039043 
0.072790 -0.041688 
0.085057 -0.044233 
0.098184 -0.046651 
0.112144 -0.048955 
0.126908 -0.051146 
0.142445 -0.053209 
0.158723 -0.055132 
0.175709 -0.056898 
0.193367 -0.058506 
0.211660 -0.059941 
0.230551 -0.061187 
0.250000 -0.062231 
0.269967 -0.063055 
0.290412 -0.063645 
0.311290 -0.063976 
0.332560 -0.064029 
0.354177 -0.063776 
0.376096 -0.063173 
0.398272 -0.062139 
0.420659 -0.060548 
0.443210 -0.058465 
0.465879 -0.055993 
0.488618 -0.053260 
0.511382 -0.050279 
0.534121 -0.047092 
0.556790 -0.043742 
0.579341 -0.040270 
0.601728 -0.036715 
0.623904 -0.033114 
0.645823 -0.029505 
0.667440 -0.025942 
0.688710 -0.022463 
0.709588 -0.019097 
0.730033 -0.015870 
0.750000 -0.012805 
0.769449 -0.009966 
0.788340 -0.007347 
0.806633 -0.004956 
0.824291 -0.002799 
0.841277 -0.000976 
0.857555 0.000610 
0.873092 0.001958 
0.887856 0.002948 
0.901816 0.003795 
0.914943 0.004320 
0.927210 0.004618 
0.938591 0.004702 
0.949064 0.004588 
0.958606 0.004305 
0.967197 0.003872 
0.974820 0.003329 
0.981459 0.002741 
0.987100 0.002097 
0.991731 0.001439 
0.995343 0.000760 
0.997928 0.000273 
0.999482 -0.000020 
1.000000 -0.000118 
