141  NumCoords ! Number of coordinates 
! ......... x-y coordinates are next if NumCoords > 0 ............. 
! x-y coordinate of airfoil reference 
!  x/c        y/c 
0.250000 0.000000 
! coordinates of airfoil shape  
! ../../Deliver_FAST/CertTest/5MW_Baseline/AirfoilsModified/AF8Coords.txt 
! x/c      y/c  
1.000000 0.002460 
0.999482 0.002603 
0.997928 0.003033 
0.995343 0.003752 
0.991731 0.004765 
0.987100 0.006071 
0.981459 0.007647 
0.974820 0.009475 
0.967197 0.011533 
0.958606 0.013819 
0.949064 0.016309 
0.938591 0.019013 
0.927210 0.021922 
0.914943 0.025039 
0.901816 0.028369 
0.887856 0.031901 
0.873092 0.035615 
0.857555 0.039526 
0.841277 0.043590 
0.824291 0.047821 
0.806633 0.052185 
0.788340 0.056661 
0.769449 0.061238 
0.750000 0.065890 
0.730033 0.070602 
0.709588 0.075344 
0.688710 0.080100 
0.667440 0.084844 
0.645823 0.089542 
0.623904 0.094170 
0.601728 0.098690 
0.579341 0.103087 
0.556790 0.107318 
0.534121 0.111359 
0.511382 0.115184 
0.488618 0.118747 
0.465879 0.122035 
0.443210 0.125015 
0.420659 0.127629 
0.398272 0.129863 
0.376096 0.131680 
0.354177 0.133023 
0.332560 0.133887 
0.311290 0.134232 
0.290412 0.134019 
0.269967 0.133208 
0.250000 0.131740 
0.230551 0.129553 
0.211660 0.126648 
0.193367 0.123112 
0.175709 0.119012 
0.158723 0.114427 
0.142445 0.109405 
0.126908 0.103990 
0.112144 0.098238 
0.098184 0.092174 
0.085057 0.085845 
0.072790 0.079301 
0.061409 0.072594 
0.050936 0.065750 
0.041394 0.058833 
0.032803 0.051896 
0.025180 0.044992 
0.018541 0.038175 
0.012900 0.031503 
0.008269 0.025031 
0.004657 0.018831 
0.002072 0.012810 
0.000518 0.006572 
0.000000 0.000000 
0.000000 0.000000 
0.000518 -0.006475 
0.002072 -0.013129 
0.004657 -0.019902 
0.008269 -0.026896 
0.012900 -0.034168 
0.018541 -0.041754 
0.025180 -0.049655 
0.032803 -0.057804 
0.041394 -0.066178 
0.050936 -0.074684 
0.061409 -0.083267 
0.072790 -0.091841 
0.085057 -0.100340 
0.098184 -0.108730 
0.112144 -0.116924 
0.126908 -0.124823 
0.142445 -0.132335 
0.158723 -0.139399 
0.175709 -0.145919 
0.193367 -0.151798 
0.211660 -0.156884 
0.230551 -0.161014 
0.250000 -0.163990 
0.269967 -0.165668 
0.290412 -0.165969 
0.311290 -0.164918 
0.332560 -0.162553 
0.354177 -0.159017 
0.376096 -0.154420 
0.398272 -0.148879 
0.420659 -0.142566 
0.443210 -0.135658 
0.465879 -0.128220 
0.488618 -0.120403 
0.511382 -0.112311 
0.534121 -0.104036 
0.556790 -0.095655 
0.579341 -0.087207 
0.601728 -0.078794 
0.623904 -0.070485 
0.645823 -0.062331 
0.667440 -0.054403 
0.688710 -0.046750 
0.709588 -0.039452 
0.730033 -0.032549 
0.750000 -0.026100 
0.769449 -0.020178 
0.788340 -0.014820 
0.806633 -0.010087 
0.824291 -0.005996 
0.841277 -0.002531 
0.857555 0.000315 
0.873092 0.002548 
0.887856 0.004197 
0.901816 0.005330 
0.914943 0.006001 
0.927210 0.006239 
0.938591 0.006126 
0.949064 0.005677 
0.958606 0.004965 
0.967197 0.004031 
0.974820 0.002943 
0.981459 0.001793 
0.987100 0.000664 
0.991731 -0.000379 
0.995343 -0.001264 
0.997928 -0.001924 
0.999482 -0.002326 
1.000000 -0.002460 
