141  NumCoords ! Number of coordinates 
! ......... x-y coordinates are next if NumCoords > 0 ............. 
! x-y coordinate of airfoil reference 
!  x/c        y/c 
0.250000 0.000000 
! coordinates of airfoil shape  
! ../../Deliver_FAST/CertTest/5MW_Baseline/AirfoilsModified/AF13Coords.txt 
! x/c      y/c  
1.000000 0.001587 
0.999482 0.001756 
0.997928 0.002263 
0.995343 0.003092 
0.991731 0.004215 
0.987100 0.005564 
0.981459 0.007134 
0.974820 0.008952 
0.967197 0.011015 
0.958606 0.013298 
0.949064 0.015799 
0.938591 0.018524 
0.927210 0.021457 
0.914943 0.024600 
0.901816 0.027952 
0.887856 0.031493 
0.873092 0.035210 
0.857555 0.039111 
0.841277 0.043179 
0.824291 0.047399 
0.806633 0.051743 
0.788340 0.056197 
0.769449 0.060736 
0.750000 0.065347 
0.730033 0.069996 
0.709588 0.074683 
0.688710 0.079388 
0.667440 0.084060 
0.645823 0.088682 
0.623904 0.093219 
0.601728 0.097607 
0.579341 0.101803 
0.556790 0.105792 
0.534121 0.109498 
0.511382 0.112896 
0.488618 0.115921 
0.465879 0.118485 
0.443210 0.120563 
0.420659 0.122087 
0.398272 0.123048 
0.376096 0.123392 
0.354177 0.123121 
0.332560 0.122282 
0.311290 0.120927 
0.290412 0.119072 
0.269967 0.116753 
0.250000 0.114017 
0.230551 0.110876 
0.211660 0.107373 
0.193367 0.103538 
0.175709 0.099405 
0.158723 0.095001 
0.142445 0.090356 
0.126908 0.085499 
0.112144 0.080455 
0.098184 0.075253 
0.085057 0.069927 
0.072790 0.064500 
0.061409 0.059012 
0.050936 0.053491 
0.041394 0.047972 
0.032803 0.042498 
0.025180 0.037131 
0.018541 0.031884 
0.012900 0.026674 
0.008269 0.021511 
0.004657 0.016424 
0.002072 0.011299 
0.000518 0.005617 
0.000000 0.000000 
0.000000 0.000000 
0.000518 -0.004745 
0.002072 -0.009315 
0.004657 -0.013774 
0.008269 -0.018055 
0.012900 -0.022309 
0.018541 -0.026608 
0.025180 -0.030936 
0.032803 -0.035232 
0.041394 -0.039432 
0.050936 -0.043520 
0.061409 -0.047508 
0.072790 -0.051378 
0.085057 -0.055133 
0.098184 -0.058768 
0.112144 -0.062248 
0.126908 -0.065539 
0.142445 -0.068614 
0.158723 -0.071449 
0.175709 -0.074019 
0.193367 -0.076287 
0.211660 -0.078231 
0.230551 -0.079844 
0.250000 -0.081085 
0.269967 -0.081945 
0.290412 -0.082393 
0.311290 -0.082415 
0.332560 -0.081992 
0.354177 -0.081127 
0.376096 -0.079811 
0.398272 -0.078028 
0.420659 -0.075748 
0.443210 -0.072974 
0.465879 -0.069722 
0.488618 -0.066041 
0.511382 -0.061977 
0.534121 -0.057576 
0.556790 -0.052904 
0.579341 -0.048009 
0.601728 -0.042971 
0.623904 -0.037834 
0.645823 -0.032696 
0.667440 -0.027632 
0.688710 -0.022731 
0.709588 -0.018080 
0.730033 -0.013735 
0.750000 -0.009761 
0.769449 -0.006211 
0.788340 -0.003129 
0.806633 -0.000522 
0.824291 0.001605 
0.841277 0.003259 
0.857555 0.004492 
0.873092 0.005327 
0.887856 0.005776 
0.901816 0.005928 
0.914943 0.005778 
0.927210 0.005397 
0.938591 0.004846 
0.949064 0.004162 
0.958606 0.003406 
0.967197 0.002616 
0.974820 0.001816 
0.981459 0.001047 
0.987100 0.000327 
0.991731 -0.000319 
0.995343 -0.000863 
0.997928 -0.001261 
0.999482 -0.001506 
1.000000 -0.001587 
