141  NumCoords ! Number of coordinates 
! ......... x-y coordinates are next if NumCoords > 0 ............. 
! x-y coordinate of airfoil reference 
!  x/c        y/c 
0.250000 0.000000 
! coordinates of airfoil shape  
! ../../Deliver_FAST/CertTest/5MW_Baseline/AirfoilsModified/AF11Coords.txt 
! x/c      y/c  
1.000000 0.002035 
0.999482 0.002196 
0.997928 0.002678 
0.995343 0.003466 
0.991731 0.004536 
0.987100 0.005866 
0.981459 0.007446 
0.974820 0.009270 
0.967197 0.011333 
0.958606 0.013614 
0.949064 0.016106 
0.938591 0.018821 
0.927210 0.021747 
0.914943 0.024879 
0.901816 0.028213 
0.887856 0.031741 
0.873092 0.035450 
0.857555 0.039335 
0.841277 0.043378 
0.824291 0.047570 
0.806633 0.051894 
0.788340 0.056335 
0.769449 0.060868 
0.750000 0.065470 
0.730033 0.070127 
0.709588 0.074829 
0.688710 0.079558 
0.667440 0.084265 
0.645823 0.088932 
0.623904 0.093522 
0.601728 0.097984 
0.579341 0.102279 
0.556790 0.106389 
0.534121 0.110242 
0.511382 0.113817 
0.488618 0.117047 
0.465879 0.119876 
0.443210 0.122261 
0.420659 0.124138 
0.398272 0.125503 
0.376096 0.126312 
0.354177 0.126503 
0.332560 0.126042 
0.311290 0.124965 
0.290412 0.123302 
0.269967 0.121111 
0.250000 0.118435 
0.230551 0.115304 
0.211660 0.111768 
0.193367 0.107855 
0.175709 0.103605 
0.158723 0.099054 
0.142445 0.094234 
0.126908 0.089179 
0.112144 0.083916 
0.098184 0.078470 
0.085057 0.072887 
0.072790 0.067193 
0.061409 0.061426 
0.050936 0.055624 
0.041394 0.049822 
0.032803 0.044064 
0.025180 0.038394 
0.018541 0.032860 
0.012900 0.027414 
0.008269 0.022089 
0.004657 0.016919 
0.002072 0.011786 
0.000518 0.005960 
0.000000 0.000000 
0.000000 0.000000 
0.000518 -0.005457 
0.002072 -0.010966 
0.004657 -0.016405 
0.008269 -0.021716 
0.012900 -0.027057 
0.018541 -0.032526 
0.025180 -0.038074 
0.032803 -0.043617 
0.041394 -0.049046 
0.050936 -0.054337 
0.061409 -0.059505 
0.072790 -0.064527 
0.085057 -0.069412 
0.098184 -0.074147 
0.112144 -0.078685 
0.126908 -0.082978 
0.142445 -0.086979 
0.158723 -0.090669 
0.175709 -0.093997 
0.193367 -0.096930 
0.211660 -0.099427 
0.230551 -0.101472 
0.250000 -0.103030 
0.269967 -0.104079 
0.290412 -0.104583 
0.311290 -0.104516 
0.332560 -0.103872 
0.354177 -0.102650 
0.376096 -0.100858 
0.398272 -0.098491 
0.420659 -0.095543 
0.443210 -0.092000 
0.465879 -0.087846 
0.488618 -0.083139 
0.511382 -0.077922 
0.534121 -0.072260 
0.556790 -0.066242 
0.579341 -0.059926 
0.601728 -0.053413 
0.623904 -0.046772 
0.645823 -0.040123 
0.667440 -0.033580 
0.688710 -0.027255 
0.709588 -0.021266 
0.730033 -0.015692 
0.750000 -0.010630 
0.769449 -0.006136 
0.788340 -0.002281 
0.806633 0.000934 
0.824291 0.003503 
0.841277 0.005459 
0.857555 0.006852 
0.873092 0.007721 
0.887856 0.008123 
0.901816 0.008115 
0.914943 0.007743 
0.927210 0.007076 
0.938591 0.006196 
0.949064 0.005165 
0.958606 0.004075 
0.967197 0.002981 
0.974820 0.001918 
0.981459 0.000938 
0.987100 0.000067 
0.991731 -0.000672 
0.995343 -0.001257 
0.997928 -0.001685 
0.999482 -0.001947 
1.000000 -0.002035 
